,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
18065,0.0,0.0,47.0,64.0,10.74044275,10.74044275,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647082.96,9.5,34.0,0.0,0.0,0.0,141.55
13616,0.0,0.0,46.53,63.36,33.42647545,33.42647545,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6006.84,515.84,578.0,573.4422086,16.05409558,572.82,83647264.46,9.5,33.86309854,22.74312594,2182.823302,0.12,141.55
10355,0.0,0.0,46.53,63.36,1.875041184,1.875041184,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5996.48,505.48,578.0,572.0547086,19.57984196,572.82,83586007.99,9.5,33.82097908,27.7292843,2804.862677,0.14,141.55
12723,0.006296759,39.09,46.59,65.73,7.54979729,7.54979729,0.0,0,0,0,0,0,0,0,0.02,0.0,0.0,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6022.92,531.92,578.0,575.041345,11.25118353,572.88,83663884.3,9.5,33.91126381,15.95032846,1421.06364,0.09,141.55
9285,0.0,58.0,6.0,46.8,31.36666953,31.36666953,0.0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,899.0,58.0,58.0,58.0,0.0,58.0,166430755.5,13.5,10.77032961,0.0,0.0,0.0,244.6
5268,0.0,0.74,46.59,65.76,39.08003652,39.08003652,0.0,0,0,0,0,0,0,0,0.0,0.01,0.0,0.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5998.44,507.44,578.0,572.2153921,19.05065704,572.96,83651175.65,9.5,33.82592103,26.97984418,2655.297319,0.14,141.55
5497,0.0,0.0,47.0,64.0,6.397547598,6.397547598,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83574164.15,9.5,34.0,0.0,0.0,0.0,141.55
19192,0.0,0.0,46.07,63.36,1.992119492,1.992119492,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5889.74,398.74,578.0,556.3912249,54.41885973,568.02,83581837.91,9.5,33.33433478,77.03542583,8727.033742,0.36,141.55
11689,0.0,0.0,47.0,64.0,5.700376988,5.700376988,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83581792.39,9.5,34.0,0.0,0.0,0.0,141.55
762,0.0,0.0,46.06,62.72,65.461844,65.461844,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6022.38,552.1,578.0,575.4280195,7.694439777,567.64,83581840.96,9.5,33.92167715,10.93207081,1206.199725,0.05,141.55
18780,0.0,0.0,47.0,64.0,0.490680668,0.490680668,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83646715.4,9.5,34.0,0.0,0.0,0.0,141.55
4951,0.0,0.0,47.0,64.0,2.914332883,2.914332883,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83581982.76,9.5,34.0,0.0,0.0,0.0,141.55
15089,0.0,0.78,46.59,64.0,1.189826051,1.189826051,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5994.0,503.0,578.0,571.4279684,20.76285133,573.0,83573848.09,9.5,33.80186861,29.40094982,2960.539217,0.15,141.55
5275,0.0,0.0,46.53,63.36,16.00998548,16.00998548,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6048.28,557.28,578.0,576.8758848,4.69099436,572.82,83651080.27,9.5,33.96611376,6.673274091,556.9210838,0.04,141.55
5158,0.0,0.0,47.0,64.0,7.32270465,7.32270465,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83663749.18,9.5,34.0,0.0,0.0,0.0,141.55
142,0.018328881,79.2,5.4,50.6,52.67044559,52.67044559,0.0,0,0,0,0,0,0,0,0.0,0.9,0.5,0.0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,894.2,56.0,59.2,57.74629945,0.821160192,56.2,166430281.4,13.5,10.74822651,1.147326285,1.212861255,0.6,244.6
12372,0.011731558,1111.8,46.4,63.72,109.913356,109.913356,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6084.27,578.0,593.27,578.8051725,3.411843538,583.09,83646486.36,9.5,34.023935,4.863600461,197.1512039,0.06,141.55
14292,0.0,0.0,47.0,64.0,1.00370253,1.00370253,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5766.712644,578.0,578.0,578.0,0.0,578.0,76856740.04,9.057471264,34.0,0.0,0.0,0.0,131.7701149
14519,0.0,0.0,41.02,88.83,26.93893097,26.93893097,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5276.52,486.56,578.0,511.9743223,38.84394627,511.96,83647253.78,9.5,31.529789,54.8464188,8463.78087,0.18,141.55
3762,0.780162001,112.0,6.0,64.0,2.563718263,2.563718263,0.0,0,0,1,0,1,0,0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,837.0,54.0,54.0,54.0,0.0,54.0,166430436.0,13.5,10.39230485,0.0,0.0,0.0,244.6
18688,0.0,0.0,47.0,64.0,15.2492475,15.2492475,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647525.55,9.5,34.0,0.0,0.0,0.0,141.55
5636,0.0,0.0,47.0,64.0,15.07728255,15.07728255,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83581835.42,9.5,34.0,0.0,0.0,0.0,141.55
1101,0.000363491,8.15,44.4,69.38,57.74827571,57.74827571,0.0,0,0,0,0,0,0,0,0.01,0.02,0.0,0.0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5743.63,370.24,578.0,550.297823,65.86791828,545.75,83586110.87,9.5,33.15167514,93.31548237,10998.48918,0.42,141.55
16784,0.0,2.14,46.7,65.91,8.068446658,8.068446658,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6032.6,541.6,578.0,575.5656721,9.045314715,574.36,83574173.95,9.5,33.92731547,12.81955708,827.7520473,0.1,141.55
10491,0.0,0.0,47.0,64.0,5.088533643,5.088533643,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83574165.01,9.5,34.0,0.0,0.0,0.0,141.55
5352,0.0,0.0,39.64,94.56,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5002.2,400.2,511.96,473.1919856,40.64712103,496.72,83651069.82,9.5,29.72602861,55.88024686,7602.149819,0.21,141.55
13087,0.0,0.0,47.0,64.0,7.171016081,7.171016081,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647295.2,9.5,34.0,0.0,0.0,0.0,141.55
15712,0.0,0.0,46.08,65.91,7.319519048,7.319519048,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6017.4,525.2,579.2,574.3901498,13.39341501,573.32,83646514.51,9.5,33.89182018,18.977649,1653.030436,0.11,141.55
5185,0.0,0.0,47.0,64.0,2.865843948,2.865843948,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83573987.9,9.5,34.0,0.0,0.0,0.0,141.55
7441,0.0,0.0,47.0,64.0,15.10369625,15.10369625,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83650899.4,9.5,34.0,0.0,0.0,0.0,141.55
8515,0.007728059,16.53,45.32,69.57,5.685169538,5.685169538,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5763.14,460.1,562.76,534.9592429,40.86355336,559.5,83651090.0,9.5,32.422735,57.86885614,8497.581494,0.22,141.55
4700,0.034852266,2559.5,6.0,64.0,192.6815669,192.6815669,0.0,0,0,0,0,1,0,0,0.6,1.9,0.0,1.5,5.4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8752.8,66.0,3322.0,572.7729403,1125.611967,718.0,166430870.5,13.5,33.85428288,1595.202659,1277057.22,1.0,244.6
18545,0.0,0.0,47.0,64.0,90.68275228,90.68275228,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83646570.62,9.5,34.0,0.0,0.0,0.0,141.55
1308,0.0,0.0,47.0,64.0,4.44609998,4.44609998,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83586109.56,9.5,34.0,0.0,0.0,0.0,141.55
2029,0.838899915,240.59,41.45,70.85,2.279323063,2.279323063,0.0,0,0,0,0,0,0,0,0.06,0.2,0.0,0.12,0.31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5809.7,365.4,797.48,568.6508388,130.3377973,553.85,83573366.61,9.5,33.53947437,183.7397732,30469.266,0.59,141.55
4071,114.493864,11242.4,9.3,86.6,7.83206071,7.83206071,0.0,0,0,0,0,0,0,0,0.3,2.4,0.9,43.5,88.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,702.5,72.7,307.8,136.737381,84.68917343,109.0,0.011369991,5.5,16.46293802,119.7685777,8316.761662,0.9,38.5
631,0.0,0.0,47.0,64.0,0.995532061,0.995532061,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83574025.44,9.5,34.0,0.0,0.0,0.0,141.55
8373,0.0,0.0,47.0,64.0,13.26180362,13.26180362,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83650865.72,9.5,34.0,0.0,0.0,0.0,141.55
16855,0.0,0.0,47.0,64.0,3.523822726,3.523822726,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83586225.81,9.5,34.0,0.0,0.0,0.0,141.55
13186,0.00053751,1.32,46.59,64.0,34.76671947,34.76671947,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6033.16,542.16,578.0,575.8618578,8.471767186,572.88,83650892.47,9.5,33.93584144,12.01964017,1034.677,0.07,141.55
5322,63.17561142,7737.4,7.5,68.9,13.40969265,13.40969265,0.0,0,0,0,0,0,0,0,0.0,0.3,0.0,24.1,49.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,555.4,74.8,178.2,108.3230159,36.10217979,98.2,0.035526395,5.5,14.66210988,51.05619228,1551.701623,0.9,38.5
3806,0.0,0.0,47.0,64.0,8.089834242,8.089834242,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83646512.54,9.5,34.0,0.0,0.0,0.0,141.55
13475,0.637026231,23.79,42.16,69.5,7.555800783,7.555800783,0.0,0,0,0,0,0,0,0,0.0,0.08,0.03,0.09,0.24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5393.76,359.22,573.2,509.7436642,76.97846061,523.24,83581566.28,9.5,31.62041431,109.0038436,15347.67473,0.41,141.55
4775,0.303336179,27.15,42.99,72.68,10.15506199,10.15506199,0.0,0,0,0,0,0,0,0,0.0,0.17,0.0,0.0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5532.7,428.1,578.0,537.8523734,62.72323501,523.12,83581789.09,9.5,32.72645121,88.68416895,13796.20434,0.29,141.55
17294,155.5062867,105486.0,8.2,155.3,4.9395192,4.9395192,0.0,0,0,0,1,1,0,0,0.0,0.0,0.0,384.4,779.1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,823.1,93.0,221.0,157.2355952,48.6394061,138.9,0.030222082,5.5,17.70032863,68.78650777,2779.312457,0.9,38.5
17911,0.030751221,5.92,43.84,63.11,683.625971,683.625971,0.0,0,0,0,0,0,0,0,0.0,0.08,0.0,0.0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5613.2,338.32,574.26,530.0028711,81.83537508,547.32,83574038.96,9.5,32.41210393,115.8654386,15871.02042,0.47,141.55
14766,0.0,58.0,6.0,47.5,0.179251299,0.179251299,0.0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,319.0,58.0,58.0,58.0,0.0,58.0,3.5e-06,5.5,10.77032961,0.0,0.0,0.0,38.5
8040,0.003853281,30.74,44.74,70.78,21.01806085,21.01806085,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.05,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5776.14,440.24,578.0,547.8621073,52.59525728,552.84,83581977.48,9.5,33.03540748,74.48404001,10548.47471,0.27,141.55
2341,0.167877691,18.03,42.11,68.19,22.10036017,22.10036017,0.0,0,0,0,0,0,0,0,0.0,0.07,0.0,0.05,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5812.17,397.04,583.16,555.0854127,56.98414171,550.9,83663690.84,9.5,33.29777341,80.70913873,8638.294637,0.53,141.55
568,0.215818701,19.14,45.82,67.18,0.873634968,0.873634968,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.06,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5900.44,449.87,578.0,563.9641326,38.28854023,566.07,83651387.87,9.5,33.57602512,54.22041731,5219.738329,0.29,141.55
18991,0.04925704,5.43,45.02,68.9,1.024719819,1.024719819,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5731.53,432.77,578.0,543.2566989,54.25509093,555.17,83647294.22,9.5,32.88607884,76.8231848,10005.77535,0.3,141.55
2770,0.0,0.0,47.0,64.0,1.960807267,1.960807267,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647334.89,9.5,34.0,0.0,0.0,0.0,141.55
7674,0.248236158,22.45,45.34,63.37,0.376836428,0.376836428,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5847.49,416.85,578.84,555.6924913,48.62394628,559.57,83586820.18,9.5,33.3086026,68.88289235,7522.113752,0.33,141.55
9400,0.0,0.97,46.23,63.36,0.894208045,0.894208045,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5934.69,443.69,578.0,567.1199142,36.02795856,568.01,83650968.18,9.5,33.67266728,51.02683967,4922.636558,0.27,141.55
11232,0.0,0.0,47.0,64.0,63.35136768,63.35136768,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83573854.53,9.5,34.0,0.0,0.0,0.0,141.55
10196,0.0,0.0,46.53,63.36,60.18991311,60.18991311,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6043.1,552.1,578.0,576.5521348,5.944872718,572.82,83574060.27,9.5,33.95645449,8.446525871,714.1421775,0.05,141.55
7096,46.8420186,2688716.8,6.0,97.6,60.93888146,60.93888146,0.0,0,0,0,0,1,0,0,0.0,2.0,0.0,111.0,2853.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,18869.8,66.0,9333.2,1198.156401,2244.983852,2093.2,166431000.0,13.5,48.57882883,3182.722319,5385596.883,1.0,244.6
1007,0.153602386,74.2,6.0,108.7,3.931899019,3.931899019,0.0,0,1,0,0,0,0,0,0.0,1.0,0.3,0.0,0.3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,311.0,54.0,57.2,56.0168254,1.476588369,56.8,0.001915812,5.5,10.5840563,2.088211298,2.734184933,0.8,38.5
171,0.0,0.0,47.0,64.0,4.184409963,4.184409963,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83574179.2,9.5,34.0,0.0,0.0,0.0,141.55
11443,0.0,11.94,43.32,61.44,0.785666687,0.785666687,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5555.69,314.71,566.63,520.2222183,90.343727,534.54,83573774.03,9.5,32.1363913,127.6316162,15699.72474,0.54,141.55
7697,0.031903789,2.73,45.65,62.72,0.773595243,0.773595243,0.0,0,0,0,0,0,0,0,0.02,0.0,0.0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5960.58,536.56,578.0,571.5027134,14.88531475,562.52,83646563.35,9.5,33.79997247,21.10626253,2815.599239,0.08,141.55
1599,0.0,0.0,47.0,64.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83574164.96,9.5,34.0,0.0,0.0,0.0,141.55
17416,0.003442039,4.94,45.82,65.68,11.3512552,11.3512552,0.0,0,0,0,0,0,0,0,0.0,0.02,0.0,0.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5923.42,470.34,578.0,567.5218538,29.5003833,564.62,83646654.16,9.5,33.68266805,41.80027389,4245.670041,0.21,141.55
12255,0.0,0.0,47.0,64.0,39.00371968,39.00371968,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83574186.23,9.5,34.0,0.0,0.0,0.0,141.55
6239,0.0,0.0,47.0,64.0,2.707439561,2.707439561,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83586104.42,9.5,34.0,0.0,0.0,0.0,141.55
11680,864.8827764,11647.9,8.7,68.9,13.42498542,13.42498542,0.0,0,0,0,0,0,0,0,0.2,0.6,0.0,51.0,102.6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,967.8,117.5,583.0,232.2140873,173.1837383,136.5,0.016723895,5.5,20.89425743,244.9187916,34160.69927,0.9,38.5
19492,0.0,0.0,47.0,64.0,93.32704375,93.32704375,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83586765.63,9.5,34.0,0.0,0.0,0.0,141.55
12276,0.000211141,2.81,45.24,66.54,45.46722343,45.46722343,0.0,0,0,0,0,0,0,0,0.0,0.02,0.0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5919.74,428.74,578.0,568.8754167,35.66252708,558.31,83647028.52,9.5,33.72632631,50.58345861,4318.553613,0.3,141.55
19309,69.91692946,21878.4,7.1,77.9,17.51929604,17.51929604,0.0,0,0,0,0,1,0,0,0.4,1.3,0.0,76.2,157.6,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1678.6,59.6,317.0,109.0312156,75.93428651,114.8,166439250.0,13.5,14.77595764,107.5742968,5802.809381,1.0,244.6
7276,4.81e-05,5.0,45.69,66.32,315.3765527,315.3765527,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5875.44,452.9,578.0,562.9735605,38.72780085,558.83,83586115.5,9.5,33.54054461,54.88811506,6162.710556,0.26,141.55
15402,0.0,0.0,47.0,64.0,2.847694037,2.847694037,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83581718.99,9.5,34.0,0.0,0.0,0.0,141.55
4599,0.0,0.0,47.0,64.0,0.71944958,0.71944958,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83663586.59,9.5,34.0,0.0,0.0,0.0,141.55
1892,0.0,0.0,47.0,64.0,115.1743417,115.1743417,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83586111.34,9.5,34.0,0.0,0.0,0.0,141.55
12136,0.0,0.0,46.54,64.0,1.500034512,1.500034512,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6014.16,523.16,578.0,573.9789369,14.16355536,573.43,83650866.77,9.5,33.87948329,20.06488138,1698.992501,0.12,141.55
14498,0.0,0.0,47.0,64.0,2.395503588,2.395503588,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647495.6,9.5,34.0,0.0,0.0,0.0,141.55
