,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
8823,0.026525238,1352.21,40.44,63.96,556.5807943,556.5807943,0.0,0,0,0,0,0,0,0,0.01,0.03,0.0,0.18,1.76,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7260.0,472.72,1374.02,667.4859486,244.6597317,718.99,83581517.96,9.5,36.14864062,346.0823489,173909.0056,0.5,141.55,Mirai-greip_flood
2688,0.00013751,3.69,46.18,67.82,31.03690746,31.03690746,0.0,0,0,0,0,0,0,0,0.01,0.0,0.0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5937.05,446.05,573.45,559.001011,37.10290344,568.9,83573853.46,9.5,33.37177491,52.54030508,5270.919989,0.28,141.55,Mirai-greip_flood
16154,0.003387117,2317.6,6.0,64.0,965.9869957,965.9869957,0.0,0,0,0,0,1,0,0,0.3,1.0,0.0,0.6,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,15819.8,66.0,3322.0,1014.35339,1291.960019,1042.8,166430336.4,13.5,45.13043659,1829.088541,1674256.056,1.0,244.6,Recon-OSScan
5530,0.0,0.0,46.53,63.36,8.215949815,8.215949815,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6032.74,541.74,578.0,575.8368014,8.571045708,572.82,83586770.17,9.5,33.9350789,12.16049533,1059.069333,0.07,141.55,Mirai-greip_flood
10757,0.002831359,3.82,45.93,63.2,13.96129699,13.96129699,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5862.64,423.44,578.0,560.8430909,47.47669044,562.5,83586765.43,9.5,33.479089,67.23130648,7749.782581,0.3,141.55,Mirai-greip_flood
5866,0.00079375,2.54,46.24,65.18,32.20619319,32.20619319,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5942.96,451.96,578.0,566.4250132,35.18210359,569.16,83651077.93,9.5,33.65024188,49.82191601,4695.638715,0.28,141.55,Mirai-greip_flood
16827,0.16237247,580.2,7.7,66.4,29.52535398,29.52535398,0.0,0,0,0,0,1,0,0,0.4,1.4,0.0,1.0,3.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1973.1,60.0,384.1,126.8958226,94.33336933,128.7,166439269.2,13.5,15.93867093,133.6598719,9145.986802,1.0,244.6,Recon-OSScan
1182,0.0,0.0,47.0,64.0,12.73117931,12.73117931,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83650911.03,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
5060,0.0,0.0,47.0,64.0,4.779269909,4.779269909,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647520.31,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
14895,1.254586618,1432.9,44.13,74.44,2.069150563,2.069150563,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.42,2.52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5920.52,362.96,675.28,561.9970865,84.98325845,552.4,83581602.05,9.5,33.41091797,120.026695,19987.79086,0.42,141.55,Mirai-greip_flood
11082,0.0,0.0,47.0,64.0,270.4955501,270.4955501,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647398.15,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
10986,0.0,0.0,46.53,63.36,0.408597619,0.408597619,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6001.66,510.66,578.0,572.7947086,17.76721955,572.82,83647307.47,9.5,33.84348893,25.1658491,2476.302677,0.13,141.55,Mirai-greip_flood
1236,0.134886885,539.2,8.2,81.7,66.02611518,66.02611518,0.0,0,0,0,0,1,0,0,0.4,1.3,0.1,0.9,3.1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,555.7,54.4,254.3,88.3143254,65.23777631,108.7,0.0079211,5.5,13.10202399,92.26014804,7946.784342,0.9,38.5,Recon-OSScan
19096,0.0,0.0,32.28,125.12,3.902682853,3.902682853,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4427.56,380.16,511.96,432.7191174,55.14831705,415.72,83651094.32,9.5,28.22119119,77.59814937,11918.98645,0.26,141.55,Mirai-greip_flood
11520,0.0,0.0,47.0,64.0,11.64935592,11.64935592,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83650869.75,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
736,0.435145876,236.42,40.92,68.47,2.755943448,2.755943448,0.0,0,0,0,0,0,0,0,0.05,0.08,0.0,0.33,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5943.28,343.84,799.89,589.1125397,117.8773215,554.44,83651003.88,9.5,34.20771581,166.5648219,29927.45607,0.54,141.55,Mirai-greip_flood
7112,0.0,0.0,47.0,64.0,30.94639372,30.94639372,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83650909.89,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
9334,0.0,0.0,47.0,64.0,2.002075917,2.002075917,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83573870.11,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
2440,0.00169668,1.94,46.7,64.64,5.214023286,5.214023286,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5988.59,497.59,578.0,569.6543581,23.58180744,573.27,83650806.03,9.5,33.74697331,33.38551221,3426.892189,0.17,141.55,Mirai-greip_flood
6198,0.009946542,2.7,44.86,62.72,234.4504732,234.4504732,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5775.7,419.16,578.0,551.8033707,56.12579183,546.72,83581704.03,9.5,33.18375166,79.48553607,10865.87835,0.3,141.55,Mirai-greip_flood
2509,0.019978909,6.21,45.36,67.18,6.508777142,6.508777142,0.0,0,0,0,0,0,0,0,0.01,0.0,0.0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5841.42,368.34,578.0,557.2943378,59.16495179,560.45,83581826.93,9.5,33.37042244,83.78859298,8933.531238,0.41,141.55,Mirai-greip_flood
7869,0.00115895,1.77,46.12,63.14,6.212518191,6.212518191,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5954.08,463.08,578.0,568.2713123,31.09245993,567.58,83650789.96,9.5,33.70589902,44.05024515,4571.992997,0.22,141.55,Mirai-greip_flood
16946,0.0,0.0,47.0,64.0,6.152724747,6.152724747,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83573961.71,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
3098,0.0,0.0,47.0,64.0,19.74157079,19.74157079,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83581796.5,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
1937,0.0,0.0,47.0,64.0,1.500021816,1.500021816,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647034.51,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
385,0.0,1.89,44.06,61.44,9.625791764,9.625791764,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5887.0,467.5,578.72,564.9438707,34.10999548,547.73,83650808.93,9.5,33.59950481,48.3278124,5423.179522,0.23,141.55,Mirai-greip_flood
1561,16.16753132,1174522.1,6.0,177.6,64.40275127,64.40275127,0.0,0,0,0,0,1,0,0,0.4,2.0,0.0,56.5,1280.3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,369.3,66.0,72.3,67.35027778,2.430407644,66.7,0.001307011,5.5,11.60578021,3.437115452,6.758082562,0.9,38.5,Recon-OSScan
16819,0.1402421,349.0,9.3,106.1,50.50653608,50.50653608,0.0,0,0,0,0,1,0,0,0.0,0.2,0.0,1.4,2.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1648.2,66.0,214.0,106.4538552,45.44228814,93.7,166437418.7,13.5,14.60449661,64.29079917,2071.748897,1.0,244.6,Recon-OSScan
9939,0.0,0.0,46.53,63.36,12.88792735,12.88792735,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6037.92,546.92,578.0,576.2068014,7.236991736,572.82,83581811.56,9.5,33.94614121,10.27385811,881.0993331,0.06,141.55,Mirai-greip_flood
14929,0.000354159,1.74,46.23,64.0,52.10665133,52.10665133,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6029.31,538.31,578.0,575.8305541,9.015362959,567.99,83586157.47,9.5,33.93462996,12.82541199,1029.26481,0.08,141.55,Mirai-greip_flood
16041,14.58558874,453791.6,6.0,216.4,85.70756675,85.70756675,0.0,0,0,0,0,1,0,0,0.0,1.2,0.0,20.6,425.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1131.5,66.0,114.8,72.45806571,15.2204864,81.9,166439384.4,13.5,12.03720466,21.5851675,304.2705235,0.8,244.6,Recon-OSScan
11341,0.0,0.0,47.0,64.0,4.25123656,4.25123656,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83663627.12,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
43,0.0,0.0,46.53,63.36,3.447036002,3.447036002,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6053.46,562.46,578.0,577.1805906,3.47217083,572.82,83573732.98,9.5,33.97519703,4.949597326,408.3680042,0.03,141.55,Mirai-greip_flood
7950,0.031198151,11.05,45.33,65.27,85.13156917,85.13156917,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5843.37,459.73,568.24,545.4525431,39.87802037,553.19,83581791.82,9.5,32.85868872,56.10413159,7723.390508,0.22,141.55,Mirai-greip_flood
15786,0.290283802,28.93,46.29,63.37,1.951095625,1.951095625,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6003.63,542.15,578.0,573.8796816,11.14879715,570.29,83574157.51,9.5,33.87560686,15.80440324,1397.390556,0.09,141.55,Mirai-greip_flood
14278,0.0,0.0,47.0,64.0,2.403933788,2.403933788,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83650814.38,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
13196,0.143418798,21.63,46.18,63.56,12.05297014,12.05297014,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11,0.19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5981.49,490.49,578.0,566.4897873,26.93578735,568.43,83663778.95,9.5,33.65235952,36.51065211,3757.163146,0.19,141.55,Mirai-greip_flood
11967,0.0,0.0,47.0,64.0,67.09598157,67.09598157,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83573763.53,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
11819,0.0,0.0,47.0,64.0,0.995963364,0.995963364,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83581708.14,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
12288,0.2255234,596808.0,6.0,64.0,1656.147182,1656.147182,0.0,0,0,0,0,1,0,0,0.0,2.0,0.0,101.0,372.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,363.0,66.0,66.0,66.0,0.0,66.0,1.6e-06,5.5,11.48912529,0.0,0.0,0.0,38.5,Recon-OSScan
9807,0.0,2.14,46.7,65.91,7.591037237,7.591037237,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6032.6,541.6,578.0,575.5656721,9.045314715,574.36,83663878.36,9.5,33.92731547,12.81955708,827.7520473,0.1,141.55,Mirai-greip_flood
12430,0.0,0.0,46.53,63.36,2.870263764,2.870263764,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5986.12,495.12,578.0,570.1553752,23.58231398,572.82,83663876.2,9.5,33.76258652,33.38963451,3606.8533,0.16,141.55,Mirai-greip_flood
19023,18.4192858,17615.9,11.5,133.7,8.839226069,8.839226069,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.9,155.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1457.0,58.0,222.6,93.25897867,48.59749459,129.3,166430920.2,13.5,13.62928834,68.69249376,2392.370436,1.0,244.6,Recon-OSScan
13919,0.0,0.0,47.0,64.0,74.31372862,74.31372862,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647092.16,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
3535,0.0,0.0,47.0,64.0,1.457905466,1.457905466,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83573872.46,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
15486,0.0,0.0,47.0,64.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83651434.43,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
14569,0.05001375,5.83,45.36,67.18,0.400142789,0.400142789,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5938.01,444.73,580.4,563.2910222,39.19659634,564.91,83573772.25,9.5,33.55596471,53.8967225,5201.853099,0.31,141.55,Mirai-greip_flood
12683,0.0,0.0,47.0,64.0,7.455842357,7.455842357,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83650915.69,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
6079,0.002399359,2.2,46.59,64.0,8.835028195,8.835028195,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6002.44,511.44,578.0,572.8550015,17.56142164,572.88,83650910.89,9.5,33.84533778,24.87435278,2419.268828,0.13,141.55,Mirai-greip_flood
564,0.069990921,7072.1,6.0,129.4,364.1614028,364.1614028,0.0,0,0,0,0,1,0,0,0.0,0.1,0.0,0.8,6.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,11546.3,66.0,1514.0,756.4319144,692.9229248,346.0,166430871.8,13.5,38.94020525,980.541883,480848.6253,1.0,244.6,Recon-OSScan
15691,0.0,0.0,47.0,64.0,4.611557745,4.611557745,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83663575.09,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
12581,0.0,0.0,47.0,64.0,35.559414,35.559414,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83646753.84,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
14072,1852.326199,1982.1,5.9,50.6,15.6208748,15.6208748,0.0,0,0,0,0,1,0,0,0.4,1.0,0.0,13.4,22.1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1601.3,58.0,351.5,102.5581228,73.14555364,111.2,166439171.5,13.5,14.32709769,103.7058311,5793.889849,1.0,244.6,Recon-OSScan
8253,0.004741352,2.72,44.77,65.57,4.946006864,4.946006864,0.0,0,0,0,0,0,0,0,0.03,0.01,0.0,0.0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5816.08,407.82,578.0,557.3637809,52.74017391,552.3,83651389.68,9.5,33.37448314,74.11180843,8823.528328,0.33,141.55,Mirai-greip_flood
8584,0.247539649,58.33,38.97,80.17,19016.93362,19016.93362,0.0,0,0,0,0,0,0,0,0.03,0.01,0.0,0.32,0.52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5325.43,311.64,567.74,502.4278644,102.7675717,482.19,83581742.34,9.5,31.45325989,145.4556336,22066.62792,0.5,141.55,Mirai-greip_flood
18229,0.0,4.22,45.93,65.27,10.25236491,10.25236491,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5967.12,496.36,578.0,570.4618503,23.32006034,565.48,83650858.55,9.5,33.77220825,33.04671211,3380.814066,0.18,141.55,Mirai-greip_flood
18273,0.0,0.0,46.53,63.36,5.316874949,5.316874949,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6053.46,562.46,578.0,577.1805906,3.47217083,572.82,83650914.41,9.5,33.97519703,4.949597326,408.3680042,0.03,141.55,Mirai-greip_flood
15127,0.0,0.0,46.06,62.72,7.81842584,7.81842584,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5970.58,526.2,578.0,571.5424374,17.01573681,567.64,83646511.28,9.5,33.80338632,24.11437548,2924.806404,0.1,141.55,Mirai-greip_flood
15304,0.0,0.0,46.07,65.27,15.28313657,15.28313657,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5992.0,536.56,578.0,573.3169019,12.9949109,567.74,83586128.56,9.5,33.85763754,18.42758493,2133.757098,0.08,141.55,Mirai-greip_flood
16708,0.0,0.0,47.0,64.0,1.970392928,1.970392928,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83574123.34,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
19404,0.003558729,13.02,45.99,65.87,33.61304668,33.61304668,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5930.12,492.52,578.0,564.059137,28.32767954,566.76,83650801.69,9.5,33.57245637,40.10449739,4301.393277,0.19,141.55,Mirai-greip_flood
15743,0.005141439,7.23,46.18,63.56,5.346110763,5.346110763,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.05,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5887.54,478.44,578.0,554.8431288,37.08744233,568.21,83650813.74,9.5,33.25314162,52.49744163,7481.489833,0.19,141.55,Mirai-greip_flood
1556,0.0,0.0,46.54,64.0,2.831482944,2.831482944,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.84,578.0,578.84,578.0501127,0.198557043,578.12,83663882.35,9.5,34.00148272,0.281710317,0.568365051,0.07,141.55,Mirai-greip_flood
8170,0.0,0.0,47.0,64.0,24.64777702,24.64777702,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83650911.36,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
18683,0.0,0.0,46.53,63.36,52.69954391,52.69954391,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5991.3,500.3,578.0,571.1913752,21.51031398,572.82,83646767.18,9.5,33.79456054,30.45938401,3177.5349,0.15,141.55,Mirai-greip_flood
11841,0.079784677,25.45,44.46,64.0,5.157377655,5.157377655,0.0,0,0,0,0,0,0,0,0.0,0.26,0.0,0.0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5626.53,420.72,578.0,540.9986512,64.49617285,542.43,83647445.99,9.5,32.83309869,91.31331572,13735.98434,0.31,141.55,Mirai-greip_flood
14671,332.9356116,70700.9,9.3,136.2,1.503307839,1.503307839,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,239.2,487.3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,689.1,63.7,192.4,118.0390079,49.03555016,129.5,0.026024103,5.5,15.31005879,69.34674007,3134.286715,0.9,38.5,DictionaryBruteForce
5549,268.6195356,20321.6,10.4,102.2,7.188767401,7.188767401,0.0,0,0,0,0,1,0,0,0.3,0.8,0.0,4.2,8.3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1592.7,50.0,317.0,104.2998631,74.44412944,61.7,166438080.2,13.5,14.44605466,105.4491778,5577.25945,1.0,244.6,Recon-OSScan
6341,0.0,0.0,47.0,64.0,2.289057418,2.289057418,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6069.0,578.0,578.0,578.0,0.0,578.0,83647510.08,9.5,34.0,0.0,0.0,0.0,141.55,Mirai-greip_flood
